Format,AiM CSV File,,,,,,,,,,,,,,,,,,,,,,
Venue,SSKC,,,,,,,,,,,,,,,,,,,,,,
Vehicle,143,,,,,,,,,,,,,,,,,,,,,,
Racer,Nicholas Thorne,,,,,,,,,,,,,,,,,,,,,,
Championship,,,,,,,,,,,,,,,,,,,,,,,
Comment,,,,,,,,,,,,,,,,,,,,,,,
Date,"Sunday, June 19, 2022",,,,,,,,,,,,,,,,,,,,,,
Time,3:42 PM,,,,,,,,,,,,,,,,,,,,,,
Sample Rate,20,,,,,,,,,,,,,,,,,,,,,,
Duration,951,,,,,,,,,,,,,,,,,,,,,,
Segment,Session,,,,,,,,,,,,,,,,,,,,,,
Beacon Markers,77.2,149.128,211.432,270.088,328.931,387.629,446.908,515.157,574.434,633.224,692.104,750.726,809.236,868.166,932.807,951,,,,,,,
Segment Times,1:17.200,1:11.928,1:02.304,0:58.656,0:58.843,0:58.698,0:59.279,1:08.249,0:59.277,0:58.790,0:58.880,0:58.622,0:58.510,0:58.930,1:04.641,0:18.193,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Time,GPS Speed,GPS Nsat,GPS LatAcc,GPS LonAcc,GPS Slope,GPS Heading,GPS Gyro,GPS Altitude,GPS PosAccuracy,GPS SpdAccuracy,GPS Radius,GPS Latitude,GPS Longitude,Logger Temperature,Water Temp,AccelerometerX,AccelerometerY,AccelerometerZ,GyroX,GyroY,GyroZ,Int Batt Voltage,RPM
s,km/h, ,g,g,deg,deg,deg/s,m,m,m/s,m,deg,deg,°C,°C,g,g,g,deg/s,deg/s,deg/s,V,rpm
,,,,,,,,,,,,,,,,,,,,,,,
122.300,50.7662,18,-1.0671,-0.3546,0.7627,32.1852,-41.4772,587.9510,0.0080,0.1600,19.4798,50.52001733,-104.49639659,26.7,53.1,-0.13,-0.66,-0.99,-39.5,3.4,-30.0,4.0,5974
122.350,50.0113,18,-1.1466,-0.3632,0.7591,29.8562,-45.1276,587.9525,0.0080,0.1600,17.6379,50.52002279,-104.49639199,26.7,53.3,0.02,-0.77,-1.03,-43.0,4.3,-34.4,4.0,5927
122.400,49.4020,18,-1.2163,-0.3781,0.7566,27.2192,-48.5763,587.9529,0.0080,0.1600,16.1860,50.52002837,-104.49638813,26.7,53.4,0.17,-0.85,-1.08,-45.9,5.4,-38.4,4.0,5864
122.450,48.7149,18,-1.2770,-0.3921,0.7622,24.5618,-51.7144,587.9561,0.0080,0.1600,14.9924,50.52003393,-104.49638449,26.7,53.5,0.29,-0.93,-1.16,-47.7,6.7,-42.1,4.0,5815
122.500,47.7172,18,-1.3024,-0.4030,0.8005,21.8226,-53.6100,587.9700,0.0080,0.1600,14.1661,50.52003944,-104.49638174,26.8,53.4,0.36,-1.00,-1.26,-48.2,8.3,-45.2,4.0,5733
122.550,46.7275,18,-1.3255,-0.4116,0.8373,19.0426,-55.4456,587.9835,0.0080,0.1610,13.4130,50.52004492,-104.49637918,26.8,53.4,0.37,-1.07,-1.34,-47.0,10.2,-47.6,4.0,5613
122.600,45.7699,18,-1.3395,-0.4117,0.8677,16.0993,-57.0408,587.9947,0.0080,0.1660,12.7707,50.52005031,-104.49637742,26.8,53.3,0.32,-1.14,-1.39,-44.6,12.1,-49.3,4.0,5529
122.650,44.8493,18,-1.3530,-0.4082,0.8931,13.2032,-58.6396,588.0037,0.0080,0.1710,12.1726,50.52005569,-104.49637582,26.8,53.2,0.23,-1.19,-1.41,-41.5,13.9,-50.4,4.0,5442
122.700,44.0764,18,-1.3645,-0.3910,0.8978,10.4958,-60.2529,588.0036,0.0080,0.1760,11.6425,50.52006107,-104.49637488,26.8,53.0,0.13,-1.24,-1.40,-38.5,15.5,-51.2,4.0,5366
122.750,43.3721,18,-1.3773,-0.3683,0.8988,7.6287,-61.9383,588.0037,0.0080,0.1800,11.1448,50.52006642,-104.49637419,26.8,52.9,0.04,-1.27,-1.39,-35.8,16.7,-51.8,4.0,5301
122.800,42.9427,18,-1.3954,-0.3240,0.8849,4.1229,-63.9120,588.0041,0.0080,0.1800,10.6937,50.52007172,-104.49637446,26.8,52.8,-0.04,-1.29,-1.37,-33.2,17.4,-52.1,4.0,5419
122.850,42.4968,18,-1.4136,-0.2724,0.8620,0.5886,-65.8703,588.0025,0.0080,0.1800,10.2680,50.52007698,-104.49637495,26.8,52.7,-0.08,-1.30,-1.35,-29.5,17.6,-51.8,4.0,5354
122.900,41.9857,18,-1.4320,-0.1916,0.8029,-3.0601,-67.7667,587.9933,0.0080,0.1800,9.8606,50.52008210,-104.49637628,26.7,52.6,-0.11,-1.30,-1.33,-23.7,17.7,-50.8,4.0,5357
122.950,41.5176,18,-1.4468,-0.1081,0.7584,-6.6550,-69.4134,587.9867,0.0080,0.1810,9.5194,50.52008719,-104.49637779,26.7,52.5,-0.11,-1.31,-1.32,-19.3,17.5,-50.0,4.0,5424
123.000,41.2222,18,-1.4471,-0.0135,0.7724,-10.0350,-70.0612,587.9908,0.0080,0.1860,9.3643,50.52009217,-104.49637999,26.7,52.5,-0.09,-1.31,-1.32,-15.5,17.0,-49.2,4.0,5418
123.050,41.1035,18,-1.4476,0.0721,0.7668,-13.4290,-70.6049,587.9906,0.0080,0.1900,9.2654,50.52009715,-104.49638241,26.7,52.5,-0.05,-1.32,-1.31,-11.9,16.2,-48.2,4.0,5365
123.100,41.6917,18,-1.4485,0.1211,0.6829,-16.8793,-70.7325,587.9728,0.0080,0.1900,9.3810,50.52010215,-104.49638569,26.7,52.5,0.00,-1.32,-1.31,-8.5,15.2,-47.0,4.0,5352
123.150,42.2000,18,-1.4475,0.1653,0.6081,-20.3413,-70.7074,587.9569,0.0080,0.1890,9.4988,50.52010709,-104.49638916,26.7,52.5,0.05,-1.32,-1.30,-5.4,13.9,-45.8,4.0,5322
123.200,42.3890,18,-1.4389,0.1896,0.5693,-23.8498,-70.0711,587.9487,0.0080,0.1840,9.6280,50.52011177,-104.49639342,26.7,52.5,0.10,-1.33,-1.30,-4.2,12.4,-44.8,3.9,5379
123.250,42.5356,18,-1.4241,0.2083,0.5349,-27.2971,-69.1106,587.9414,0.0080,0.1780,9.7955,50.52011637,-104.49639780,26.7,52.6,0.14,-1.34,-1.29,-5.5,10.6,-44.2,3.9,5311
123.300,42.5129,18,-1.3847,0.2049,0.5185,-30.5002,-66.8529,587.9380,0.0081,0.1680,10.1209,50.52012065,-104.49640272,26.7,52.6,0.17,-1.33,-1.28,-8.5,8.9,-43.6,3.9,5333
123.350,42.5456,18,-1.3452,0.2023,0.5018,-33.7721,-64.5975,587.9344,0.0081,0.1600,10.4823,50.52012486,-104.49640783,26.7,52.6,0.20,-1.32,-1.28,-11.3,7.4,-42.7,3.9,5263
123.400,42.8001,18,-1.3053,0.2027,0.4837,-37.3197,-62.3510,587.9299,0.0081,0.1600,10.9250,50.52012880,-104.49641373,26.6,52.6,0.23,-1.32,-1.27,-13.2,6.4,-41.0,3.9,5202
123.450,43.0445,18,-1.2649,0.1983,0.4576,-40.6828,-60.0857,587.9236,0.0081,0.1590,11.4016,50.52013267,-104.49641972,26.6,52.6,0.24,-1.30,-1.27,-15.9,5.6,-39.3,3.9,5319
123.500,43.2485,18,-1.2224,0.1743,0.3993,-43.3074,-57.7458,587.9106,0.0081,0.1540,11.9199,50.52013628,-104.49642605,26.6,52.6,0.25,-1.28,-1.27,-20.0,5.1,-37.9,3.9,5257
123.550,43.4356,18,-1.1768,0.1534,0.3487,-45.7947,-55.2811,587.8984,0.0081,0.1490,12.5052,50.52013985,-104.49643245,26.6,52.6,0.26,-1.25,-1.27,-25.2,5.0,-37.0,3.9,5334
123.600,43.5550,18,-1.1181,0.1453,0.3288,-47.7326,-52.3172,587.8886,0.0081,0.1440,13.2499,50.52014327,-104.49643915,26.6,52.6,0.25,-1.18,-1.28,-30.7,5.2,-36.7,3.9,5460
123.650,43.6910,18,-1.0613,0.1446,0.3156,-49.7631,-49.4521,587.8805,0.0081,0.1400,14.0614,50.52014663,-104.49644598,26.6,52.7,0.20,-1.10,-1.28,-34.3,5.6,-36.4,3.9,5445
123.700,43.8929,18,-1.0121,0.1739,0.3292,-52.1640,-46.9814,587.8787,0.0081,0.1400,14.8692,50.52014969,-104.49645327,26.6,52.8,0.14,-1.01,-1.29,-34.6,6.6,-35.7,3.9,5465
123.750,44.1581,18,-0.9746,0.1975,0.3374,-54.5632,-45.0345,587.8779,0.0081,0.1390,15.6058,50.52015268,-104.49646069,26.6,52.8,0.08,-0.94,-1.29,-32.4,7.5,-35.1,3.9,5575
123.800,44.6761,18,-0.9841,0.1984,0.3245,-56.9558,-45.1822,587.8809,0.0081,0.1340,15.7372,50.52015540,-104.49646860,26.6,52.8,0.03,-0.88,-1.29,-29.0,8.5,-34.6,3.9,5580
123.850,45.1617,18,-0.9988,0.1982,0.3130,-59.3496,-45.5678,587.8834,0.0081,0.1290,15.7737,50.52015805,-104.49647659,26.6,52.8,-0.01,-0.84,-1.30,-25.8,9.3,-34.5,3.9,5649
123.900,45.5176,18,-1.0347,0.1938,0.3070,-61.7485,-46.9048,587.8843,0.0081,0.1240,15.4448,50.52016037,-104.49648489,26.6,52.8,-0.02,-0.82,-1.30,-23.5,10.0,-35.0,3.9,5743
123.950,45.8270,18,-1.0709,0.1949,0.2975,-64.2223,-48.2549,587.8829,0.0081,0.1190,15.1147,50.52016261,-104.49649325,26.6,52.8,-0.00,-0.82,-1.32,-21.8,10.4,-35.8,3.9,5769
124.000,45.9497,18,-1.1084,0.2178,0.2742,-66.9959,-49.6576,587.8730,0.0081,0.1140,14.7271,50.52016448,-104.49650187,26.6,52.9,0.01,-0.83,-1.34,-20.5,10.7,-36.8,3.9,5815
124.050,46.1059,18,-1.1332,0.2370,0.2451,-69.6545,-50.4807,587.8610,0.0081,0.1120,14.5362,50.52016627,-104.49651055,26.6,53.1,0.02,-0.85,-1.33,-19.4,10.7,-37.8,3.9,5909
124.100,46.3963,18,-1.1075,0.2417,0.1932,-71.8529,-48.9851,587.8405,0.0081,0.1220,15.0744,50.52016769,-104.49651949,26.6,53.3,0.07,-0.87,-1.32,-16.8,10.5,-38.0,3.9,5848
124.150,46.6928,18,-1.0735,0.2451,0.1475,-74.0822,-47.1363,587.8214,0.0081,0.1300,15.7657,50.52016903,-104.49652850,26.6,53.4,0.13,-0.91,-1.34,-11.0,10.1,-36.8,3.9,5793
124.200,47.0144,18,-1.0067,0.2437,0.1266,-76.4351,-43.8747,587.8087,0.0081,0.1300,17.0544,50.52017002,-104.49653780,26.6,53.5,0.17,-0.96,-1.37,-3.4,9.3,-34.2,3.9,5797
124.250,47.3750,18,-0.9415,0.2471,0.1084,-78.5869,-40.7058,587.7982,0.0081,0.1310,18.5231,50.52017097,-104.49654713,26.6,53.5,0.15,-1.00,-1.39,2.5,8.3,-31.2,3.9,5859
124.300,47.8917,18,-0.8835,0.2691,0.1011,-79.9343,-37.9082,587.7971,0.0081,0.1360,20.1070,50.52017176,-104.49655663,26.7,53.5,0.08,-1.00,-1.38,4.0,6.9,-28.1,3.9,5944
124.350,48.4650,18,-0.8229,0.2925,0.0971,-81.2801,-35.0119,587.7972,0.0081,0.1390,22.0309,50.52017249,-104.49656621,26.7,53.4,0.06,-0.97,-1.35,0.8,5.9,-26.4,4.0,5966
124.400,49.2649,18,-0.7524,0.3209,0.1069,-82.6194,-31.7211,587.8023,0.0081,0.1340,24.7178,50.52017300,-104.49657611,26.7,53.3,0.11,-0.94,-1.36,-4.7,5.2,-25.5,4.0,6094
124.450,49.9775,18,-0.6847,0.3450,0.1087,-83.9758,-28.5610,587.8046,0.0081,0.1300,27.8498,50.52017346,-104.49658605,26.7,53.1,0.17,-0.90,-1.39,-10.3,4.5,-25.0,4.0,6155
124.500,50.3410,18,-0.6284,0.3520,0.0785,-85.4002,-25.9233,587.7951,0.0081,0.1300,30.9066,50.52017370,-104.49659613,26.7,53.0,0.23,-0.88,-1.46,-13.7,3.9,-24.4,4.0,6162
124.550,50.7650,18,-0.5754,0.3534,0.0481,-86.7974,-23.4393,587.7858,0.0081,0.1300,34.4699,50.52017389,-104.49660625,26.7,52.9,0.26,-0.86,-1.55,-14.4,3.4,-23.5,4.0,6180
124.600,51.4311,18,-0.5357,0.3325,0.0170,-88.0858,-21.5699,587.7772,0.0082,0.1300,37.9489,50.52017384,-104.49661660,26.7,52.7,0.27,-0.85,-1.64,-12.3,3.0,-22.1,4.0,6210
124.650,52.0292,18,-0.4898,0.3050,-0.0165,-89.2118,-19.4831,587.7657,0.0082,0.1300,42.5019,50.52017380,-104.49662694,26.7,52.6,0.28,-0.84,-1.71,-8.6,2.6,-19.9,4.0,6244
124.700,52.3555,18,-0.4194,0.2510,-0.0602,-89.6882,-16.5275,587.7424,0.0082,0.1300,50.4169,50.52017377,-104.49663725,26.7,52.5,0.32,-0.82,-1.74,-4.1,2.2,-17.2,4.0,6232
124.750,52.6690,18,-0.3477,0.1932,-0.1015,-90.1349,-13.5495,587.7195,0.0082,0.1300,61.8662,50.52017372,-104.49664760,26.7,52.5,0.38,-0.78,-1.71,0.3,1.7,-14.1,4.0,6211
124.800,52.9314,18,-0.2704,0.1205,-0.1327,-90.4624,-10.4821,587.6978,0.0082,0.1300,80.3685,50.52017360,-104.49665810,26.7,52.4,0.45,-0.71,-1.63,4.1,1.0,-10.7,4.0,6189
124.850,53.0662,18,-0.1819,0.0480,-0.1571,-90.7078,-6.9995,587.6799,0.0082,0.1300,120.6617,50.52017350,-104.49666853,26.7,52.4,0.49,-0.63,-1.51,6.9,0.5,-7.3,4.0,6114
124.900,52.6903,18,-0.0481,-0.0236,-0.1542,-90.6250,-1.8561,587.6766,0.0082,0.1300,451.7947,50.52017347,-104.49667873,26.7,52.5,0.47,-0.53,-1.36,8.8,0.0,-4.2,4.0,6040
124.950,52.3185,18,0.0838,-0.0877,-0.1555,-90.4612,3.2138,587.6719,0.0082,0.1300,259.0898,50.52017346,-104.49668890,26.7,52.5,0.38,-0.40,-1.21,10.2,-0.2,-1.4,4.0,6002
125.000,51.9628,18,0.2076,-0.1220,-0.1737,-89.9734,7.9902,587.6617,0.0082,0.1300,103.5034,50.52017357,-104.49669901,26.7,52.5,0.23,-0.25,-1.07,12.0,-0.2,1.4,4.0,5951
125.050,51.6261,18,0.3269,-0.1540,-0.1911,-89.3637,12.6136,587.6509,0.0082,0.1300,65.1406,50.52017375,-104.49670908,26.7,52.5,0.03,-0.10,-0.95,14.9,-0.1,4.6,4.0,5947
125.100,51.3656,18,0.4284,-0.1769,-0.2056,-88.2667,16.6249,587.6376,0.0082,0.1300,49.1737,50.52017418,-104.49671900,26.7,52.6,-0.22,0.09,-0.84,19.8,0.3,9.2,4.0,5914
125.150,51.1051,18,0.5295,-0.1908,-0.2190,-87.1212,20.6498,587.6242,0.0082,0.1300,39.3884,50.52017466,-104.49672888,26.7,52.6,-0.41,0.22,-0.78,24.4,0.6,13.4,4.0,5938
125.200,50.8444,18,0.6292,-0.1691,-0.2277,-85.7818,24.7288,587.6108,0.0082,0.1300,32.7235,50.52017537,-104.49673860,26.7,52.6,-0.55,0.33,-0.76,28.3,0.9,17.6,4.0,5929
125.250,50.6279,18,0.7314,-0.1491,-0.2348,-84.3212,28.9189,587.5989,0.0082,0.1300,27.8630,50.52017618,-104.49674832,26.7,52.6,-0.61,0.42,-0.78,31.1,1.3,21.6,4.0,5921
125.300,50.5881,18,0.8431,-0.1353,-0.2355,-82.3754,33.5533,587.5933,0.0082,0.1300,23.9957,50.52017737,-104.49675802,26.7,52.7,-0.60,0.47,-0.86,33.1,1.8,25.3,4.0,5894
125.350,50.4653,18,0.9447,-0.1218,-0.2423,-80.4282,37.7941,587.5849,0.0082,0.1300,21.2515,50.52017864,-104.49676764,26.7,52.8,-0.52,0.51,-0.97,35.7,2.1,29.2,4.0,5989
125.400,50.0105,18,1.0056,-0.1094,-0.2738,-78.4747,40.4604,587.5660,0.0082,0.1300,19.6721,50.52018019,-104.49677691,26.7,52.8,-0.43,0.55,-1.08,39.0,2.2,33.3,4.0,5978
125.450,49.5684,18,1.0682,-0.1049,-0.2984,-76.3459,43.2025,587.5494,0.0082,0.1290,18.2606,50.52018187,-104.49678609,26.7,52.8,-0.35,0.61,-1.16,42.5,2.6,37.4,4.0,5973
125.500,49.1772,18,1.1375,-0.1315,-0.2960,-73.5159,46.2476,587.5419,0.0082,0.1240,16.9237,50.52018407,-104.49679496,26.7,52.8,-0.30,0.70,-1.20,45.2,3.5,41.4,4.0,5981
125.550,48.7662,18,1.2082,-0.1562,-0.3005,-70.7602,49.3877,587.5324,0.0082,0.1200,15.7152,50.52018634,-104.49680373,26.7,52.8,-0.29,0.79,-1.20,46.5,4.8,44.8,4.0,5922
125.600,48.2761,18,1.2843,-0.1729,-0.3331,-68.3022,52.9081,587.5148,0.0082,0.1200,14.5221,50.52018886,-104.49681213,26.7,52.7,-0.30,0.88,-1.17,46.0,6.4,47.4,4.0,5873
125.650,47.8283,18,1.3569,-0.1833,-0.3676,-65.8129,56.3226,587.4954,0.0082,0.1200,13.5152,50.52019149,-104.49682044,26.7,52.6,-0.30,0.93,-1.14,43.0,8.0,48.5,4.0,5827
125.700,47.5498,18,1.4153,-0.1684,-0.4097,-63.1987,59.3137,587.4691,0.0082,0.1200,12.7589,50.52019453,-104.49682837,26.7,52.5,-0.27,0.96,-1.13,37.2,9.5,48.1,4.0,5824
125.750,47.2576,18,1.4659,-0.1494,-0.4465,-60.2472,61.9841,587.4446,0.0082,0.1210,12.1342,50.52019774,-104.49683610,26.7,52.5,-0.22,0.96,-1.16,29.2,10.3,46.3,4.0,5775
125.800,46.9104,18,1.4855,-0.1144,-0.4620,-55.9471,63.3717,587.4273,0.0082,0.1260,11.7813,50.52020161,-104.49684303,26.7,52.5,-0.16,0.98,-1.19,20.1,10.7,43.6,4.0,5725
125.850,46.5869,18,1.4996,-0.0764,-0.4706,-51.9140,64.4967,587.4135,0.0082,0.1300,11.4960,50.52020552,-104.49684987,26.7,52.5,-0.10,1.02,-1.21,12.3,10.6,41.1,4.0,5762
125.900,46.3577,18,1.4917,-0.0270,-0.4519,-48.9487,64.5709,587.4138,0.0082,0.1300,11.4263,50.52020962,-104.49685632,26.7,52.6,-0.05,1.06,-1.22,11.0,10.1,40.7,4.0,5780
125.950,46.1879,18,1.4815,0.0148,-0.4356,-46.0710,64.4947,587.4124,0.0082,0.1300,11.3979,50.52021379,-104.49686265,26.7,52.7,-0.01,1.10,-1.24,14.0,9.5,41.5,3.9,5743
126.000,46.2557,18,1.4620,0.0261,-0.4292,-43.5434,63.8166,587.4048,0.0082,0.1300,11.5359,50.52021825,-104.49686851,26.7,52.7,0.02,1.13,-1.26,18.9,9.0,42.9,3.9,5789
126.050,46.3075,18,1.4433,0.0404,-0.4287,-40.8504,63.1563,587.3965,0.0082,0.1290,11.6696,50.52022278,-104.49687421,26.7,52.8,0.04,1.14,-1.27,23.2,8.6,44.0,3.9,5759
126.100,46.2952,18,1.4275,0.0663,-0.4516,-37.4958,62.5670,587.3854,0.0082,0.1240,11.7763,50.52022757,-104.49687930,26.7,53.0,0.05,1.14,-1.29,25.1,8.4,44.1,3.9,5789
126.150,46.2599,18,1.4037,0.0853,-0.4685,-34.2333,61.6049,587.3750,0.0082,0.1200,11.9511,50.52023242,-104.49688422,26.7,53.1,0.06,1.12,-1.33,24.5,8.3,43.5,3.9,5756
126.200,46.1326,18,1.3486,0.0768,-0.4613,-31.3396,59.1515,587.3668,0.0081,0.1200,12.4126,50.52023753,-104.49688846,26.7,53.3,0.05,1.12,-1.37,21.9,8.3,42.2,3.9,5791
126.250,46.0743,18,1.2932,0.0717,-0.4515,-28.4073,56.6927,587.3613,0.0081,0.1190,12.9346,50.52024270,-104.49689253,26.7,53.4,0.05,1.12,-1.38,17.6,8.4,40.5,3.9,5703
126.300,46.2915,18,1.2370,0.0802,-0.4312,-25.3206,54.2125,587.3667,0.0081,0.1140,13.5901,50.52024816,-104.49689590,26.7,53.5,0.06,1.13,-1.37,13.4,8.5,38.9,3.9,5742
126.350,46.4923,18,1.1868,0.0954,-0.4017,-22.4118,51.9860,587.3738,0.0081,0.1100,14.2336,50.52025364,-104.49689916,26.7,53.5,0.08,1.14,-1.36,10.6,8.6,37.8,3.9,5652
126.400,46.6270,18,1.1606,0.1370,-0.3353,-20.2148,50.7743,587.3875,0.0081,0.1100,14.6155,50.52025921,-104.49690196,26.7,53.5,0.09,1.15,-1.33,9.6,8.5,37.0,3.9,5614
126.450,46.7499,18,1.1195,0.1643,-0.2817,-18.0832,48.8854,587.3984,0.0081,0.1100,15.2202,50.52026482,-104.49690465,26.7,53.3,0.10,1.14,-1.28,9.1,7.9,35.6,3.9,5612
126.500,46.8252,18,1.0188,0.1350,-0.2798,-16.2138,44.2877,587.3988,0.0081,0.1100,16.8274,50.52027054,-104.49690688,26.7,53.2,0.09,1.10,-1.23,7.2,7.2,33.2,3.9,5534
126.550,46.9028,18,0.9291,0.1035,-0.2791,-14.3752,40.1964,587.3973,0.0081,0.1110,18.5708,50.52027627,-104.49690901,26.7,53.1,0.07,1.05,-1.18,5.0,6.2,30.2,3.9,5677
126.600,46.9897,18,0.8840,0.0631,-0.2833,-12.6593,38.1303,587.3882,0.0081,0.1160,19.6134,50.52028202,-104.49691076,26.7,53.0,0.05,0.98,-1.15,4.0,5.3,27.6,3.9,5603
126.650,47.0772,18,0.8572,0.0240,-0.3011,-10.9348,36.8782,587.3749,0.0081,0.1200,20.3170,50.52028780,-104.49691239,26.7,53.0,0.04,0.91,-1.13,6.6,4.5,26.8,3.9,5618
126.700,47.1667,18,0.9038,-0.0104,-0.3731,-9.1762,38.8823,587.3448,0.0081,0.1200,19.3065,50.52029364,-104.49691357,26.7,53.1,0.04,0.83,-1.11,14.9,3.2,28.8,3.9,5843
126.750,47.1053,20,0.9592,-0.0476,-0.4302,-7.1861,41.2879,587.3198,0.0081,0.1200,18.1580,50.52029945,-104.49691453,26.7,53.1,0.03,0.77,-1.10,27.8,1.9,33.5,3.9,5815
126.800,46.4403,20,1.0492,-0.0954,-0.4278,-4.2698,45.3000,587.3147,0.0080,0.1200,16.3161,50.52030516,-104.49691465,26.7,53.2,0.01,0.73,-1.09,41.4,1.8,39.4,3.9,5769
126.850,45.8998,20,1.1446,-0.1323,-0.4198,-1.2462,49.6043,587.3107,0.0080,0.1210,14.7269,50.52031088,-104.49691457,26.7,53.3,-0.03,0.71,-1.10,51.7,3.2,45.0,3.9,5687
126.900,45.8576,20,1.2612,-0.1252,-0.3893,2.2064,55.0773,587.3107,0.0080,0.1260,13.2513,50.52031660,-104.49691367,26.7,53.4,-0.04,0.70,-1.14,56.0,5.6,49.0,3.9,5615
126.950,45.7137,20,1.3677,-0.1155,-0.3517,5.4265,60.1298,587.3152,0.0080,0.1300,12.0997,50.52032228,-104.49691265,26.7,53.5,-0.05,0.72,-1.19,54.3,8.3,50.8,3.9,5720
127.000,45.1630,20,1.4332,-0.0954,-0.2861,7.7167,63.5001,587.3382,0.0080,0.1300,11.3195,50.52032775,-104.49691118,26.7,53.6,-0.05,0.75,-1.25,46.5,10.8,50.5,3.9,5555
127.050,44.7097,20,1.4888,-0.0688,-0.2389,10.4468,66.4281,587.3538,0.0080,0.1360,10.7120,50.52033317,-104.49690940,26.7,53.7,-0.04,0.80,-1.29,32.9,13.0,48.1,3.9,5545
127.100,44.6463,20,1.5049,-0.0159,-0.2655,14.9363,67.5866,587.3398,0.0080,0.1660,10.5134,50.52033834,-104.49690640,26.7,53.8,-0.03,0.88,-1.33,17.1,14.4,44.7,3.9,5550
127.150,44.6036,20,1.5107,0.0356,-0.2934,19.0013,68.2276,587.3273,0.0080,0.1910,10.4047,50.52034350,-104.49690328,26.7,53.7,-0.00,0.98,-1.36,3.5,14.7,41.3,3.9,5562
127.200,44.6442,20,1.4755,0.0813,-0.3262,21.3687,66.7983,587.3201,0.0080,0.1960,10.6370,50.52034859,-104.49689972,26.7,53.6,0.02,1.08,-1.37,-4.9,14.0,39.0,3.9,5608
127.250,44.7330,20,1.4372,0.1216,-0.3526,23.9499,65.1777,587.3153,0.0080,0.1970,10.9232,50.52035364,-104.49689593,26.7,53.5,0.06,1.17,-1.35,-6.6,12.2,38.2,3.9,5534
127.300,45.0145,20,1.3867,0.1406,-0.3533,27.3863,62.7915,587.3200,0.0080,0.1820,11.4096,50.52035846,-104.49689124,26.7,53.4,0.09,1.21,-1.33,-1.1,10.4,39.4,3.9,5764
127.350,45.3101,20,1.3489,0.1575,-0.3568,30.7081,60.9611,587.3218,0.0080,0.1670,11.8294,50.52036324,-104.49688641,26.7,53.4,0.11,1.22,-1.31,8.7,8.4,42.0,3.9,5764
127.400,45.6620,20,1.3621,0.1664,-0.3715,33.5714,61.3542,587.3116,0.0080,0.1520,11.8449,50.52036780,-104.49688102,26.7,53.3,0.14,1.20,-1.32,19.6,7.0,45.2,3.9,5811
127.450,45.9015,20,1.3733,0.1776,-0.3689,36.5331,61.6539,587.3073,0.0080,0.1390,11.8491,50.52037226,-104.49687548,26.7,53.2,0.19,1.15,-1.35,29.1,6.3,48.3,3.9,5872
127.500,45.6914,20,1.3770,0.1984,-0.2969,39.8886,61.5799,587.3260,0.0080,0.1340,11.8091,50.52037629,-104.49686935,26.7,53.2,0.22,1.11,-1.41,34.9,6.3,50.7,3.9,5862
127.550,45.5838,20,1.3800,0.2083,-0.2352,43.1225,61.4557,587.3416,0.0080,0.1290,11.8051,50.52038027,-104.49686305,26.7,53.2,0.23,1.10,-1.44,36.0,7.0,51.7,3.9,5950
127.600,45.8861,20,1.3802,0.1748,-0.2145,45.8695,61.1311,587.3439,0.0080,0.1240,11.9465,50.52038399,-104.49685613,26.7,53.2,0.23,1.10,-1.43,32.4,7.7,51.2,3.9,5978
127.650,46.2174,20,1.3901,0.1586,-0.1951,48.7802,61.2651,587.3476,0.0080,0.1200,12.0064,50.52038761,-104.49684904,26.7,53.2,0.24,1.11,-1.39,24.7,8.4,49.3,3.9,5932
127.700,46.6639,20,1.4388,0.2110,-0.1807,52.3456,63.2338,587.3565,0.0080,0.1200,11.7450,50.52039083,-104.49684129,26.7,53.2,0.27,1.12,-1.35,14.7,8.8,46.7,3.9,5955
127.750,47.0737,20,1.4687,0.2498,-0.1650,55.7847,64.3301,587.3654,0.0080,0.1190,11.6462,50.52039396,-104.49683344,26.7,53.2,0.32,1.12,-1.34,5.4,8.8,44.0,3.9,5912
127.800,47.3365,20,1.4231,0.2338,-0.1444,58.7185,61.9370,587.3741,0.0080,0.1140,12.1637,50.52039669,-104.49682518,26.7,53.3,0.37,1.11,-1.39,-0.9,8.3,42.0,3.9,5955
127.850,47.5963,20,1.3768,0.2291,-0.1220,61.5506,59.5285,587.3826,0.0080,0.1100,12.7253,50.52039933,-104.49681684,26.7,53.3,0.40,1.12,-1.47,-3.8,7.2,40.6,3.9,5937
127.900,47.8437,20,1.3270,0.2691,-0.0927,63.9757,57.0584,587.3896,0.0079,0.1100,13.3452,50.52040159,-104.49680821,26.7,53.5,0.40,1.14,-1.51,-4.1,5.9,39.3,3.9,5922
127.950,48.1360,20,1.2679,0.3010,-0.0542,66.5302,54.1735,587.4007,0.0079,0.1100,14.1417,50.52040374,-104.49679946,26.7,53.8,0.36,1.19,-1.49,-2.6,4.5,38.1,3.9,5918
128.000,48.6079,20,1.1715,0.3004,0.0214,69.6018,49.6296,587.4283,0.0079,0.1100,15.5879,50.52040549,-104.49679026,26.7,54.2,0.28,1.25,-1.39,0.7,3.2,36.9,3.9,5902
128.050,49.0706,20,1.0802,0.2968,0.0885,72.3367,45.3216,587.4527,0.0079,0.1100,17.2320,50.52040720,-104.49678100,26.7,54.7,0.21,1.29,-1.25,6.7,2.2,35.7,3.9,5951
